PG,SG,SF,PF,C,G,F,UTIL
42691744,42691684,42691864,42691689,42691798,42691656,42691709,42691723
42691717,42691656,42691684,42691729,42691798,42691720,42691766,42691780
42691656,42691744,42691864,42691698,42691798,42691720,42691786,42691682
42691717,42691780,42691684,42691689,42691798,42691720,42691709,42691682
42691717,42691684,42691864,42691689,42691798,42691720,42691705,42691723
42691744,42691684,42691757,42691693,42691798,42691780,42691766,42691682
42691723,42691684,42691864,42691689,42691798,42691773,42691705,42691780
42691744,42691780,42691864,42691689,42691798,42691720,42691684,42691682
42691720,42691656,42691864,42691835,42691798,42691723,42691757,42691780
42691717,42691726,42691684,42691705,42691682,42691660,42691689,42691696
42691656,42691780,42691864,42691698,42691798,42691773,42691705,42691689
42691717,42691780,42691684,42691729,42691798,42691720,42691786,42691689
42691717,42691773,42691684,42691729,42691798,42691723,42691709,42691682
42691717,42691684,42691786,42691698,42691682,42691656,42691729,42691766
42691717,42691780,42691709,42691729,42691682,42691720,42691684,42691689
42691744,42691656,42691864,42691705,42691798,42691723,42691684,42691682
42691717,42691780,42691684,42691729,42691682,42691720,42691709,42691786
42691744,42691684,42691709,42691729,42691798,42691723,42691864,42691689
42691717,42691776,42691705,42691729,42691696,42691726,42691689,42691682
42691656,42691780,42691835,42691817,42691798,42691773,42691705,42691682
42691656,42691684,42691864,42691729,42691798,42691723,42691689,42691682
42691656,42691684,42691864,42691835,42691798,42691660,42691786,42691696
42691717,42691732,42691835,42691729,42691689,42691773,42691705,42691696
42691732,42691773,42691684,42691835,42691696,42691723,42691729,42691705
42691717,42691684,42691835,42691698,42691689,42691723,42691705,42691773
42691744,42691656,42691864,42691835,42691682,42691780,42691693,42691766
42691717,42691780,42691709,42691766,42691682,42691720,42691693,42691757
42691723,42691732,42691709,42691835,42691696,42691773,42691729,42691705
42691717,42691684,42691786,42691729,42691682,42691780,42691689,42691720
42691656,42691684,42691660,42691729,42691682,42691773,42691689,42691696
42691776,42691780,42691709,42691705,42691689,42691717,42691684,42691723
42691656,42691780,42691835,42691817,42691682,42691720,42691786,42691766
42691717,42691684,42691709,42691729,42691682,42691780,42691864,42691705
42691723,42691656,42691684,42691729,42691682,42691720,42691698,42691766
42691717,42691773,42691864,42691729,42691682,42691720,42691689,42691780
42691744,42691684,42691709,42691729,42691689,42691660,42691705,42691696
42691717,42691684,42691709,42691705,42691689,42691723,42691864,42691682
42691717,42691684,42691709,42691729,42691766,42691723,42691689,42691682
42691717,42691684,42691709,42691729,42691682,42691780,42691689,42691766
42691717,42691773,42691684,42691729,42691689,42691780,42691705,42691693
42691717,42691780,42691835,42691693,42691682,42691720,42691766,42691786
42691717,42691773,42691705,42691729,42691698,42691723,42691689,42691732
42691717,42691684,42691709,42691729,42691689,42691723,42691864,42691705
42691744,42691773,42691864,42691817,42691689,42691732,42691705,42691723
42691656,42691660,42691709,42691835,42691696,42691773,42691705,42691723
42691656,42691780,42691864,42691835,42691689,42691720,42691817,42691766
42691744,42691773,42691864,42691729,42691689,42691732,42691705,42691696
42691656,42691780,42691757,42691835,42691689,42691717,42691693,42691720
42691656,42691780,42691864,42691835,42691766,42691720,42691817,42691786
42691717,42691773,42691709,42691835,42691698,42691723,42691729,42691705
42691717,42691773,42691709,42691729,42691748,42691780,42691705,42691723
42691656,42691732,42691835,42691698,42691696,42691660,42691864,42691705
42691656,42691773,42691835,42691729,42691696,42691717,42691705,42691732
42691717,42691732,42691709,42691729,42691698,42691720,42691766,42691723
42691717,42691656,42691835,42691729,42691766,42691720,42691693,42691780
42691717,42691660,42691709,42691705,42691698,42691773,42691864,42691723
42691717,42691726,42691709,42691729,42691696,42691773,42691766,42691786
42691776,42691780,42691709,42691729,42691696,42691660,42691757,42691786
42691776,42691780,42691786,42691729,42691748,42691720,42691705,42691696
42691717,42691780,42691835,42691729,42691698,42691720,42691705,42691757
42691776,42691732,42691835,42691705,42691696,42691723,42691864,42691709
42691732,42691773,42691864,42691835,42691696,42691720,42691705,42691723
42691717,42691660,42691709,42691693,42691748,42691732,42691705,42691696
42691717,42691773,42691709,42691705,42691698,42691723,42691786,42691720
42691717,42691773,42691864,42691698,42691673,42691723,42691729,42691705
42691744,42691660,42691835,42691705,42691696,42691732,42691864,42691693
42691776,42691773,42691709,42691729,42691696,42691723,42691705,42691720
42691744,42691776,42691835,42691729,42691696,42691717,42691705,42691732
42691717,42691660,42691864,42691817,42691673,42691773,42691729,42691723
42691776,42691744,42691835,42691817,42691696,42691773,42691705,42691732
42691732,42691773,42691786,42691835,42691696,42691660,42691729,42691817
42691776,42691773,42691705,42691729,42691698,42691723,42691817,42691766
42691717,42691773,42691709,42691835,42691696,42691720,42691705,42691786
42691744,42691773,42691835,42691729,42691696,42691732,42691705,42691693
42691717,42691773,42691709,42691817,42691698,42691732,42691766,42691705
42691720,42691773,42691835,42691698,42691696,42691757,42691786,42691705
42691717,42691660,42691709,42691817,42691766,42691723,42691705,42691773
42691717,42691757,42691709,42691817,42691698,42691732,42691766,42691705
42691776,42691744,42691835,42691698,42691696,42691773,42691705,42691766
42691776,42691744,42691705,42691693,42691696,42691773,42691786,42691720
42691717,42691776,42691709,42691835,42691696,42691723,42691665,42691732
42691723,42691757,42691709,42691835,42691696,42691720,42691705,42691660
42691744,42691776,42691835,42691698,42691696,42691773,42691705,42691720
42691744,42691776,42691835,42691698,42691696,42691720,42691709,42691732
42691776,42691732,42691835,42691698,42691766,42691720,42691693,42691696
42691744,42691732,42691835,42691817,42691698,42691720,42691766,42691693
42691732,42691773,42691709,42691835,42691696,42691660,42691817,42691786
42691723,42691726,42691709,42691835,42691696,42691773,42691786,42691720
42691723,42691776,42691709,42691835,42691696,42691773,42691786,42691732
42691717,42691665,42691757,42691835,42691696,42691732,42691786,42691693
42691776,42691660,42691786,42691698,42691748,42691732,42691693,42691696
42691776,42691732,42691709,42691817,42691698,42691723,42691766,42691773
42691776,42691665,42691835,42691693,42691748,42691717,42691786,42691696
