P,P,C,1B,2B,3B,SS,OF,OF,OF
42672737,42672743,42672773,42672753,42672811,42672846,42672835,42672923,42672758,42672748
42672740,42672743,42672850,42672842,42672801,42672826,42672761,42672748,42672754,42672789
42672737,42672743,42672850,42672842,42672763,42672837,42672761,42672807,42672748,42672789
42672740,42672743,42672850,42672760,42672763,42672872,42672761,42672855,42672789,42672752
42672737,42672741,42672850,42672902,42672763,42672878,42672761,42672751,42672752,42672855
42672737,42672740,42672808,42672781,42672777,42672852,42672761,42672891,42672789,42672752
42672738,42672743,42672850,42672753,42672827,42672826,42672761,42672923,42672748,42672752
42672737,42672740,42672850,42672781,42672914,42672786,42672761,42672782,42672789,42672752
42672740,42672743,42672808,42672753,42672777,42672822,42672827,42672876,42672758,42672748
42672740,42672743,42672850,42672753,42672811,42672762,42672827,42672754,42672752,42672855
42672737,42672736,42672850,42672902,42672756,42672878,42672769,42672789,42672752,42672855
42672737,42672736,42672808,42672781,42672914,42672822,42672761,42672891,42672752,42672789
42672737,42672743,42672850,42672842,42672763,42672872,42672761,42672751,42672752,42672855
42672740,42672743,42672800,42672753,42672811,42672762,42672761,42672874,42672748,42672904
42672737,42672743,42672832,42672753,42672811,42672878,42672792,42672748,42672758,42672874
42672737,42672743,42672808,42672771,42672878,42672822,42672761,42672782,42672752,42672789
42672737,42672743,42672808,42672753,42672811,42672822,42672827,42672891,42672748,42672758
42672737,42672743,42672850,42672771,42672878,42672826,42672761,42672749,42672751,42672855
42672741,42672743,42672850,42672842,42672878,42672762,42672761,42672754,42672758,42672752
42672737,42672743,42672808,42672781,42672763,42672822,42672761,42672782,42672914,42672752
42672737,42672743,42672800,42672760,42672811,42672872,42672792,42672891,42672758,42672748
42672737,42672743,42672808,42672781,42672766,42672852,42672761,42672782,42672923,42672752
42672738,42672737,42672850,42672817,42672756,42672878,42672761,42672752,42672855,42672788
42672738,42672743,42672850,42672753,42672878,42672826,42672761,42672748,42672758,42672855
42672736,42672743,42672800,42672753,42672827,42672822,42672835,42672891,42672758,42672748
42672740,42672743,42672800,42672753,42672811,42672762,42672792,42672754,42672789,42672855
42672736,42672740,42672800,42672753,42672914,42672762,42672838,42672891,42672782,42672748
42672737,42672743,42672850,42672842,42672805,42672878,42672761,42672807,42672758,42672748
42672738,42672743,42672800,42672842,42672811,42672878,42672761,42672754,42672748,42672789
42672740,42672743,42672800,42672842,42672811,42672826,42672761,42672754,42672789,42672752
42672740,42672743,42672800,42672753,42672811,42672793,42672835,42672758,42672748,42672923
42672737,42672741,42672850,42672902,42672756,42672878,42672761,42672807,42672789,42672752
42672737,42672743,42672832,42672753,42672827,42672762,42672792,42672934,42672874,42672748
42672737,42672743,42672850,42672842,42672811,42672826,42672827,42672758,42672748,42672789
42672737,42672743,42672808,42672781,42672777,42672852,42672827,42672891,42672748,42672758
42672738,42672737,42672800,42672760,42672872,42672762,42672835,42672923,42672748,42672823
42672740,42672743,42672800,42672753,42672811,42672872,42672835,42672754,42672748,42672823
42672737,42672743,42672800,42672842,42672766,42672822,42672761,42672752,42672789,42672855
42672740,42672743,42672808,42672781,42672777,42672762,42672838,42672914,42672748,42672758
