P_ID,P_Name,P_Salary,P_Proj,P_ID,P_Name,P_Salary,P_Proj,C_ID,C_Name,C_Salary,C_Proj,1B_ID,1B_Name,1B_Salary,1B_Proj,2B_ID,2B_Name,2B_Salary,2B_Proj,3B_ID,3B_Name,3B_Salary,3B_Proj,SS_ID,SS_Name,SS_Salary,SS_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42646451,Randy Vasquez,8000,10.09,42646294,Clay Holmes,8700,10.19,42646320,Danny Jansen,3200,6.56,42646525,Nick Kurtz,5200,10.24,42646377,Josh Smith,3100,6.47,42646486,Max Muncy,3900,7.21,42646519,Jacob Wilson,3700,6.14,42646287,Brandon Nimmo,4900,9.01,42646277,Joc Pederson,3000,6.30,42646518,Wyatt Langford,4000,8.93,81.14,47700,21.2,2.1220e+1
42646426,J.T. Ginn,7300,12.34,42646408,Emerson Hancock,8500,11.27,42646505,Dalton Rushing,3100,6.49,42646260,Freddie Freeman,5000,8.25,42646270,Marcus Semien,3300,5.77,42646269,Max Muncy,4300,7.67,42646286,Francisco Lindor,4600,7.31,42646422,Julio Rodriguez,4500,8.84,42646365,Luke Raley,3500,7.15,42646421,Andy Pages,4700,7.14,82.23,48800,16.2,1.6209e+1
42646445,Kumar Rocker,6700,9.47,42646314,Shohei Ohtani,9500,23.57,42646341,Will Smith,4200,8.25,42646334,Gavin Sheets,3700,7.04,42646508,Alex Freeland,3000,5.01,42646269,Max Muncy,4300,7.67,42646302,Corey Seager,5000,9.93,42646274,Nick Castellanos,3000,6.11,42646421,Andy Pages,4700,7.14,42646285,Teoscar Hernandez,4800,7.39,91.58,48900,23.0,2.2969e+1
42646451,Randy Vasquez,8000,10.09,42646294,Clay Holmes,8700,10.19,42646320,Danny Jansen,3200,6.56,42646525,Nick Kurtz,5200,10.24,42646312,Jeff McNeil,3500,6.85,42646415,Josh Jung,2900,6.65,42646286,Francisco Lindor,4600,7.31,42646287,Brandon Nimmo,4900,9.01,42646430,Lawrence Butler,3600,7.88,42646277,Joc Pederson,3000,6.30,81.08,47600,20.3,2.0285e+1
42646408,Emerson Hancock,8500,11.27,42646426,J.T. Ginn,7300,12.34,42646375,Shea Langeliers,5700,9.66,42646260,Freddie Freeman,5000,8.25,42646312,Jeff McNeil,3500,6.85,42646390,Brendan Donovan,4000,7.95,42646519,Jacob Wilson,3700,6.14,42646470,Tyler Soderstrom,4700,8.51,42646373,Carlos Cortes,3300,6.19,42646418,Dominic Canzone,3300,6.40,83.56,49000,20.1,2.0093e+1
42646445,Kumar Rocker,6700,9.47,42646314,Shohei Ohtani,9500,23.57,42646361,Cal Raleigh,5000,9.05,42646349,Josh Naylor,3900,7.62,42646386,Hyeseong Kim,2600,4.67,42646269,Max Muncy,4300,7.67,42646339,Leo Rivas,2300,5.67,42646285,Teoscar Hernandez,4800,7.39,42646348,Kyle Tucker,6000,9.07,42646421,Andy Pages,4700,7.14,91.32,49800,23.5,2.3488e+1
42646514,David Morgan,4000,2.86,42646322,Mark Leiter Jr.,4000,2.83,42646361,Cal Raleigh,5000,9.05,42646260,Freddie Freeman,5000,8.25,42646508,Alex Freeland,3000,5.01,42646390,Brendan Donovan,4000,7.95,42646281,Xander Bogaerts,4100,7.41,42646359,Randy Arozarena,4200,7.82,42646348,Kyle Tucker,6000,9.07,42646421,Andy Pages,4700,7.14,67.39,44000,14.0,1.3959e+1
42646408,Emerson Hancock,8500,11.27,42646451,Randy Vasquez,8000,10.09,42646453,Francisco Alvarez,4100,5.73,42646525,Nick Kurtz,5200,10.24,42646377,Josh Smith,3100,6.47,42646412,Ezequiel Duran,2700,5.70,42646286,Francisco Lindor,4600,7.31,42646277,Joc Pederson,3000,6.30,42646287,Brandon Nimmo,4900,9.01,42646476,Evan Carter,4200,8.33,80.45,48300,21.1,2.1089e+1
42646426,J.T. Ginn,7300,12.34,42646294,Clay Holmes,8700,10.19,42646375,Shea Langeliers,5700,9.66,42646334,Gavin Sheets,3700,7.04,42646312,Jeff McNeil,3500,6.85,42646390,Brendan Donovan,4000,7.95,42646519,Jacob Wilson,3700,6.14,42646332,Ramon Laureano,4200,7.78,42646470,Tyler Soderstrom,4700,8.51,42646373,Carlos Cortes,3300,6.19,82.65,48800,19.1,1.9082e+1
42646445,Kumar Rocker,6700,9.47,42646314,Shohei Ohtani,9500,23.57,42646361,Cal Raleigh,5000,9.05,42646334,Gavin Sheets,3700,7.04,42646337,Jake Cronenworth,3400,6.49,42646390,Brendan Donovan,4000,7.95,42646281,Xander Bogaerts,4100,7.41,42646359,Randy Arozarena,4200,7.82,42646332,Ramon Laureano,4200,7.78,42646274,Nick Castellanos,3000,6.11,92.69,47800,21.6,2.1630e+1
