P,P,C,1B,2B,3B,SS,OF,OF,OF
42643652,42643649,42643853,42643685,42643815,42643681,42643683,42643716,42643800,42643721
42643648,42643656,42643717,42643813,42643688,42643709,42643705,42643703,42643702,42643805
42643654,42643649,42643695,42643813,42643688,42643836,42643705,42643794,42643672,42643719
42643661,42643648,42643851,42643706,42643797,42643691,42643683,42643726,42643698,42643687
42643652,42643648,42643710,42643755,42643815,42643864,42643678,42643670,42643716,42643759
42643648,42643653,42643695,42643708,42643742,42643750,42643727,42643776,42643672,42643802
42643657,42643648,42643710,42643693,42643814,42643735,42643740,42643665,42643772,42643756
42643661,42643649,42643682,42643759,42643798,42643725,42643881,42643670,42643699,42643666
42643656,42643649,42643717,42643708,42643668,42643766,42643727,42643842,42643854,42643666
42643652,42643649,42643832,42643669,42643736,42643743,42643825,42643712,42643713,42643699
42643654,42643658,42643667,42643733,42643765,42643709,42643705,42643745,42643703,42643692
42643657,42643649,42643667,42643676,42643797,42643817,42643837,42643687,42643719,42643726
42643652,42643658,42643902,42643693,42643714,42643685,42643700,42643721,42643665,42643729
42643652,42643649,42643679,42643759,42643742,42643750,42643784,42643802,42643672,42643738
42643654,42643658,42643851,42643669,42643773,42643735,42643723,42643664,42643698,42643711
42643658,42643656,42643682,42643733,42643688,42643725,42643876,42643703,42643664,42643699
42643658,42643649,42643717,42643684,42643815,42643709,42643705,42643793,42643694,42643690
42643661,42643658,42643695,42643708,42643688,42643766,42643705,42643749,42643702,42643665
42643651,42643649,42643710,42643810,42643791,42643864,42643740,42643703,42643664,42643721
42643658,42643651,42643787,42643706,42643830,42643817,42643683,42643716,42643664,42643687
42643654,42643661,42643832,42643708,42643736,42643714,42643825,42643664,42643703,42643665
42643661,42643658,42643667,42643739,42643742,42643750,42643727,42643664,42643699,42643713
42643654,42643658,42643689,42643704,42643736,42643750,42643697,42643802,42643672,42643680
42643657,42643652,42643667,42643708,42643736,42643727,42643854,42643664,42643842,42643692
42643648,42643649,42643717,42643671,42643847,42643836,42643705,42643702,42643749,42643805
42643652,42643648,42643724,42643940,42643803,42643725,42643799,42643665,42643699,42643713
42643648,42643658,42643717,42643669,42643786,42643720,42643700,42643665,42643957,42643796
42643652,42643648,42643682,42643867,42643761,42643685,42643723,42643821,42643711,42643698
42643648,42643651,42643689,42643776,42643798,42643750,42643876,42643672,42643699,42643713
42643651,42643649,42643682,42643685,42643798,42643876,42643683,42643821,42643721,42643699
42643661,42643648,42643667,42643671,42643765,42643707,42643748,42643767,42643730,42643759
42643652,42643648,42643807,42643722,42643786,42643681,42643869,42643664,42643721,42643796
42643654,42643649,42643667,42643813,42643688,42643836,42643705,42643802,42643698,42643713
42643661,42643648,42643795,42643684,42643809,42643709,42643683,42643719,42643666,42643796
42643652,42643648,42643710,42643810,42643791,42643707,42643740,42643672,42643844,42643692
42643648,42643656,42643689,42643755,42643773,42643830,42643678,42643793,42643670,42643698
42643652,42643649,42643768,42643739,42643798,42643725,42643723,42643699,42643713,42643698
42643661,42643649,42643695,42643813,42643688,42643836,42643678,42643716,42643702,42643692
42643657,42643648,42643787,42643695,42643688,42643817,42643705,42643719,42643687,42643726
42643652,42643649,42643807,42643755,42643830,42643714,42643678,42643793,42643721,42643666
42643661,42643648,42643832,42643693,42643714,42643691,42643881,42643729,42643665,42643698
42643661,42643649,42643717,42643940,42643803,42643707,42643799,42643664,42643730,42643666
42643661,42643649,42643851,42643747,42643797,42643691,42643683,42643665,42643698,42643711
42643652,42643649,42643667,42643676,42643791,42643735,42643748,42643844,42643835,42643692
42643654,42643649,42643717,42643676,42643798,42643725,42643876,42643687,42643762,42643690
42643648,42643651,42643667,42643708,42643847,42643766,42643727,42643802,42643842,42643666
42643658,42643649,42643851,42643704,42643742,42643714,42643784,42643672,42643794,42643665
42643648,42643656,42643682,42643695,42643688,42643836,42643825,42643712,42643745,42643702
42643657,42643649,42643695,42643813,42643791,42643700,42643705,42643749,42643665,42643772
42643652,42643648,42643717,42643676,42643765,42643709,42643748,42643885,42643756,42643690
42643655,42643649,42643807,42643669,42643736,42643836,42643825,42643703,42643664,42643749
42643661,42643658,42643695,42643671,42643688,42643836,42643705,42643664,42643702,42643767
42643654,42643649,42643787,42643669,42643809,42643817,42643683,42643806,42643719,42643666
42643661,42643658,42643667,42643755,42643742,42643770,42643678,42643670,42643716,42643694
42643660,42643649,42643689,42643708,42643688,42643766,42643705,42643664,42643870,42643854
42643652,42643658,42643787,42643706,42643797,42643681,42643683,42643721,42643719,42643680
42643658,42643649,42643679,42643755,42643830,42643770,42643743,42643716,42643664,42643738
42643656,42643649,42643667,42643940,42643803,42643681,42643740,42643672,42643767,42643721
42643658,42643656,42643832,42643676,42643668,42643685,42643837,42643745,42643664,42643738
42643652,42643649,42643902,42643708,42643773,42643681,42643727,42643842,42643730,42643665
42643652,42643658,42643682,42643739,42643798,42643725,42643697,42643664,42643762,42643733
42643652,42643661,42643832,42643747,42643773,42643691,42643723,42643664,42643745,42643665
42643658,42643649,42643682,42643671,42643668,42643725,42643876,42643730,42643767,42643780
42643658,42643649,42643768,42643706,42643688,42643817,42643705,42643702,42643726,42643687
42643658,42643656,42643695,42643813,42643688,42643750,42643705,42643672,42643749,42643665
42643652,42643658,42643689,42643693,42643742,42643750,42643727,42643784,42643665,42643729
42643654,42643658,42643851,42643669,42643773,42643727,42643723,42643664,42643711,42643698
42643652,42643656,42643717,42643684,42643736,42643709,42643825,42643745,42643713,42643666
42643661,42643658,42643667,42643676,42643757,42643714,42643700,42643665,42643781,42643756
42643648,42643650,42643832,42643669,42643736,42643864,42643683,42643712,42643721,42643821
42643652,42643654,42643710,42643669,42643830,42643685,42643825,42643745,42643716,42643672
42643654,42643649,42643737,42643685,42643736,42643681,42643700,42643821,42643800,42643729
42643652,42643658,42643667,42643676,42643803,42643707,42643799,42643703,42643767,42643692
42643648,42643661,42643787,42643733,42643742,42643750,42643678,42643745,42643664,42643806
42643658,42643651,42643667,42643722,42643736,42643685,42643869,42643821,42643721,42643665
42643654,42643658,42643682,42643708,42643797,42643766,42643683,42643670,42643687,42643726
42643658,42643653,42643689,42643708,42643830,42643735,42643727,42643670,42643716,42643672
42643651,42643649,42643795,42643676,42643736,42643864,42643678,42643712,42643745,42643756
42643648,42643649,42643889,42643813,42643688,42643707,42643705,42643702,42643805,42643698
42643648,42643658,42643724,42643733,42643797,42643817,42643683,42643687,42643719,42643680
42643648,42643658,42643724,42643704,42643786,42643720,42643700,42643665,42643698,42643957
